Name	Feature	UTM_X	UTM_Y	Lat	Lon	row	col
VelinoCluster276	Cluster	366625	4651125	42.0008496	13.38953471	295	225
VelinoCluster277	Cluster	387875	4634625	41.85559203	13.64918527	361	310
VelinoCluster278	Cluster	317375	4689625	42.3374581	12.78315412	141	28
VelinoCluster279	Cluster	356625	4668625	42.15663468	13.26455053	225	185
VelinoCluster280	Cluster	334375	4679375	42.24900474	12.99231748	182	96
VelinoCluster281	Cluster	333625	4684625	42.29609866	12.98172389	161	93
VelinoCluster282	Cluster	320375	4702375	42.45289982	12.815567	90	40
VelinoCluster283	Cluster	377375	4644375	41.94182211	13.52070139	322	268
VelinoCluster284	Cluster	334125	4668625	42.15219303	12.99235541	225	95
VelinoCluster285	Cluster	334875	4687875	42.32561662	12.99595037	148	98
VelinoCluster286	Cluster	342875	4695125	42.39253009	13.09101431	119	130
VelinoCluster287	Cluster	350375	4679375	42.25223532	13.18616794	182	160
VelinoCluster288	Cluster	382125	4659625	42.07985495	13.5749239	261	287
VelinoCluster289	Cluster	331125	4688125	42.32706245	12.95039313	147	83
VelinoCluster290	Cluster	339125	4696125	42.40076334	13.0451998	115	115
VelinoCluster291	Cluster	342625	4660625	42.08193483	13.09733357	257	129
VelinoCluster292	Cluster	351625	4659125	42.07018383	13.20647094	263	165
VelinoCluster293	Cluster	322875	4708875	42.51197197	12.84394015	64	50
VelinoCluster294	Cluster	397625	4640625	41.91094191	13.76558024	337	349
VelinoCluster295	Cluster	368125	4661125	42.09113328	13.40538958	255	231
VelinoCluster296	Cluster	355875	4666625	42.13849252	13.2559708	233	182
VelinoCluster297	Cluster	349125	4712875	42.55354208	13.16223986	48	155
VelinoCluster298	Cluster	356625	4653125	42.01709747	13.26835058	287	185
VelinoCluster299	Cluster	322125	4710375	42.525299	12.83435076	58	47
VelinoCluster300	Cluster	345875	4688375	42.33237245	13.12924763	146	142
VelinoCluster301	Cluster	377125	4666125	42.13761099	13.51312727	235	267
VelinoCluster302	Cluster	321875	4705625	42.48249423	12.83278673	77	46
VelinoCluster303	Cluster	396875	4643875	41.94010949	13.75597044	324	346
VelinoCluster304	Cluster	364375	4660625	42.08599292	13.3601789	257	216
VelinoCluster305	Cluster	316375	4691375	42.35297159	12.77046755	134	24
VelinoCluster306	Cluster	323625	4684125	42.28940015	12.8606471	163	53
VelinoCluster307	Cluster	349375	4676875	42.22953873	13.17470031	192	156
VelinoCluster308	Cluster	384375	4651625	42.00815816	13.60369624	293	296
VelinoCluster309	Cluster	331875	4688625	42.33172497	12.95934463	145	86
VelinoCluster310	Cluster	397125	4639625	41.90187225	13.75972701	341	347
VelinoCluster311	Cluster	325625	4698125	42.41584935	12.88065925	107	61
VelinoCluster312	Cluster	333625	4674875	42.20834203	12.98452092	200	93
